"","edu2F","LabourF","ExpYEd","LEAB","GNICapita","MatMortRatio","ABR","ParlRep"
"Norway",97.4,61.2,17.5,81.6,166,4,7.8,39.6
"Australia",94.3,58.8,20.2,82.4,135,6,12.1,30.5
"Switzerland",95,61.8,15.8,83,156,6,1.9,28.5
"Denmark",95.5,58.7,18.7,80.2,139,5,5.1,38
"Netherlands",87.7,58.5,17.9,81.6,140,6,6.2,36.9
"Germany",96.3,53.6,16.5,80.9,137,7,3.8,36.9
"Ireland",80.5,53.1,18.6,80.9,127,9,8.2,19.9
"United States",95.1,56.3,16.5,79.1,154,28,31,19.4
"Canada",100,61.6,15.9,82,134,11,14.5,28.2
"New Zealand",95,62,19.2,81.8,117,8,25.3,31.4
"Singapore",74.1,58.8,15.4,83,180,6,6,25.3
"Sweden",86.5,60.3,15.8,82.2,141,4,6.5,43.6
"United Kingdom",99.8,55.7,16.2,80.7,126,8,25.8,23.5
"Iceland",91,70.5,19,82.6,121,4,11.5,41.3
"Korea (Republic of)",77,50.1,16.9,81.9,119,27,2.2,16.3
"Israel",84.4,57.9,16,82.4,115,2,7.8,22.5
"Luxembourg",100,50.7,13.9,81.7,157,11,8.3,28.3
"Japan",87,48.8,15.3,83.5,122,6,5.4,11.6
"Belgium",77.5,47.5,16.3,80.8,133,6,6.7,42.4
"France",78,50.7,16,82.2,123,12,5.7,25.7
"Austria",100,54.6,15.7,81.4,136,4,4.1,30.3
"Finland",100,55.7,17.1,80.8,125,4,9.2,42.5
"Slovenia",95.8,52.3,16.8,80.4,99,7,0.6,27.7
"Spain",66.8,52.5,17.3,82.6,116,4,10.6,38
"Italy",71.2,39.6,16,83.1,118,4,4,30.1
"Czech Republic",99.9,51.1,16.4,78.6,98,5,4.9,18.9
"Greece",59.5,44.2,17.6,80.9,93,5,11.9,21
"Estonia",100,56.2,16.5,76.8,94,11,16.8,19.8
"Cyprus",76,56,14,80.2,101,10,5.5,12.5
"Qatar",66.7,50.8,13.8,78.2,37,6,9.5,0
"Slovakia",99.1,51.1,15.1,76.3,96,7,15.9,18.7
"Poland",79.4,48.9,15.5,77.4,90,3,12.2,22.1
"Lithuania",89.1,55.8,16.4,73.3,92,11,10.6,23.4
"Malta",68.6,37.9,14.4,80.6,100,9,18.2,13
"Saudi Arabia",60.5,20.2,16.3,74.3,153,16,10.2,19.9
"Argentina",56.3,47.5,17.9,76.3,85,69,54.4,36.8
"United Arab Emirates",73.1,46.5,13.3,77,165,8,27.6,17.5
"Chile",73.3,49.2,15.2,81.7,83,22,55.3,15.8
"Portugal",47.7,54.9,16.3,80.9,95,8,12.6,31.3
"Hungary",97.9,44.8,15.4,75.2,89,14,12.1,10.1
"Bahrain",56.7,39.2,14.4,76.6,124,22,13.8,15
"Latvia",98.9,54.9,15.2,74.2,86,13,13.5,18
"Croatia",85,44.7,14.8,77.3,65,13,12.7,25.8
"Kuwait",55.6,43.6,14.7,74.4,185,14,14.5,1.5
"Montenegro",84.2,43,15.2,76.2,46,7,15.2,17.3
"Belarus",87,50.1,15.7,71.3,59,1,20.6,30.1
"Russian Federation",89.6,57.1,14.7,70.1,87,24,25.7,14.5
"Oman",47.2,29,13.6,76.8,120,11,10.6,9.6
"Romania",86.1,48.7,14.2,74.7,61,33,31,12
"Uruguay",54.4,55.6,15.5,77.2,64,14,58.3,11.5
"Bahamas",91.2,69.3,12.6,75.4,84,37,28.5,16.7
"Kazakhstan",95.3,67.7,15,69.4,81,26,29.9,20.1
"Barbados",89.5,65.9,15.4,75.6,34,52,48.4,19.6
"Bulgaria",93,47.9,14.4,74.2,50,5,35.9,20.4
"Panama",54,49,13.3,77.6,62,85,78.5,19.3
"Malaysia",65.1,44.4,12.7,74.7,88,29,5.7,14.2
"Mauritius",49.4,43.6,15.6,74.4,60,73,30.9,11.6
"Trinidad and Tobago",59.7,53,12.3,70.4,97,84,34.8,24.7
"Serbia",58.4,44.5,14.4,74.9,32,16,16.9,34
"Cuba",74.3,43.4,13.8,79.4,170,80,43.1,48.9
"Lebanon",53,23.3,13.8,79.3,57,16,12,3.1
"Costa Rica",50.7,46.6,13.9,79.4,41,38,60.8,33.3
"Iran (Islamic Republic of)",62.2,16.6,15.1,75.4,49,23,31.6,3.1
"Venezuela (Bolivarian Republic of)",56.6,51.1,14.2,74.2,54,110,83.2,17
"Turkey",39,29.4,14.5,75.3,63,20,30.9,14.4
"Sri Lanka",72.7,35.1,13.7,74.9,189,29,16.9,5.8
"Mexico",55.7,45.1,13.1,76.8,53,49,63.4,37.1
"Brazil",54.6,59.4,15.2,74.5,48,69,70.8,9.6
"Georgia",89.7,56.5,13.8,74.9,168,41,46.8,11.3
"Azerbaijan",93.7,62.9,11.9,70.8,56,26,40,15.6
"Jordan",69.5,15.6,13.5,74,26,50,26.5,11.6
"The former Yugoslav Republic of Macedonia",40.2,43.1,13.4,75.4,28,7,18.3,33.3
"Ukraine",91.7,53.2,15.1,71,183,23,25.7,11.8
"Algeria",26.7,15.2,14,74.8,38,89,10,25.7
"Peru",56.3,68.2,13.1,74.6,25,89,50.7,22.3
"Albania",81.8,44.9,11.8,77.8,192,21,15.3,20.7
"Armenia",94,54.2,12.3,74.7,182,29,27.1,10.7
"Bosnia and Herzegovina",44.9,34.1,13.6,76.5,187,8,15.1,19.3
"Ecuador",40.1,54.7,14.2,75.9,22,87,77,41.6
"China",58.7,63.9,13.1,75.8,35,32,8.6,23.6
"Fiji",64.2,37.5,15.7,70,173,59,42.8,14
"Mongolia",85.3,56.6,14.6,69.4,23,68,18.7,14.9
"Thailand",35.7,64.3,13.5,74.4,40,26,41,6.1
"Libya",55.5,30,14,71.6,47,15,2.5,16
"Tunisia",32.8,25.1,14.6,74.8,20,46,4.6,31.3
"Colombia",56.9,55.8,13.5,74,30,83,68.5,20.9
"Jamaica",74,56.1,12.4,75.7,172,80,70.1,16.7
"Tonga",87.5,53.5,14.7,72.8,142,120,18.1,0
"Belize",76.4,49.2,13.6,70,174,45,71.4,13.3
"Dominican Republic",55.6,51.3,13.1,73.5,29,100,99.6,19.1
"Suriname",44.6,40.5,12.7,71.1,51,130,35.2,11.8
"Maldives",27.3,56.2,13,76.8,33,31,4.2,5.9
"Samoa",64.3,23.5,12.9,73.4,145,58,28.3,6.1
"Botswana",73.6,71.9,12.5,64.5,58,170,44.2,9.5
"Moldova (Republic of)",93.6,37.6,11.9,71.6,144,21,29.3,20.8
"Egypt",43.9,23.7,13.5,71.1,21,45,43,2.2
"Gabon",53.9,56.2,12.5,64.4,55,240,103,16.2
"Indonesia",39.9,51.4,13,68.9,190,190,48.3,17.1
"Paraguay",36.8,55.7,11.9,72.9,175,110,67,16.8
"Philippines",65.9,51.1,11.3,68.2,176,120,46.8,27.1
"El Salvador",36.8,47.8,12.3,73,171,69,76,27.4
"South Africa",72.7,44.5,13.6,57.4,31,140,50.9,40.7
"Viet Nam",59.4,73,11.9,75.8,143,49,29,24.3
"Bolivia (Plurinational State of)",47.6,64.2,13.2,68.3,152,200,71.9,51.8
"Kyrgyzstan",94.5,56,12.5,70.6,102,75,29.3,23.3
"Iraq",27.8,14.9,10.1,69.4,43,67,68.7,26.5
"Guyana",60.3,42.6,10.3,66.4,161,250,88.5,31.3
"Nicaragua",39.4,47.4,11.5,74.9,128,100,100.8,39.1
"Morocco",20.7,26.5,11.6,74,163,120,35.8,11
"Namibia",33.3,54.7,11.3,64.8,186,130,54.9,37.7
"Guatemala",21.9,49.3,10.7,71.8,164,140,97.2,13.3
"Tajikistan",95.1,58.9,11.2,69.4,73,44,42.8,15.2
"India",27,27,11.7,68,148,190,32.8,12.2
"Honduras",28,42.8,11.1,73.1,114,120,84,25.8
"Bhutan",34,66.7,12.6,69.5,169,120,40.9,8.3
"Syrian Arab Republic",29.5,13.5,12.3,69.6,74,49,41.6,12.4
"Congo",39.7,68.5,11.1,62.3,159,410,126.7,11.5
"Zambia",25.8,73.1,13.5,60.1,111,280,125.4,12.7
"Ghana",45.2,67.3,11.5,61.4,113,380,58.4,10.9
"Bangladesh",34.1,57.4,10,71.6,104,170,80.6,20
"Cambodia",9.9,78.8,10.9,68.4,78,170,44.3,19
"Kenya",25.3,62.2,11,61.6,75,400,93.6,20.8
"Nepal",17.7,79.9,12.4,69.6,68,190,73.7,29.5
"Pakistan",19.3,24.6,7.8,66.2,132,170,27.3,19.7
"Myanmar",22.9,75.2,8.6,65.9,129,200,12.1,4.7
"Swaziland",21.9,43.9,11.3,49,149,310,72,14.7
"Tanzania (United Republic of)",5.6,88.1,9.2,65,70,410,122.7,36
"Cameroon",21.3,63.8,10.4,55.5,76,590,115.8,27.1
"Zimbabwe",48.7,83.2,10.9,57.5,15,470,60.3,35.1
"Mauritania",8.3,28.7,8.5,63.1,110,320,73.3,22.2
"Papua New Guinea",7.6,70.5,9.9,62.6,72,220,62.1,2.7
"Yemen",8.6,25.4,9.2,63.8,109,270,47,0.7
"Lesotho",21.9,59,11.1,49.8,106,490,89.4,26.8
"Togo",16.1,80.6,12.2,59.7,4,450,91.5,17.6
"Haiti",22.4,60.9,8.7,62.8,16,380,42,3.5
"Rwanda",8,86.4,10.3,64.2,9,320,33.6,57.5
"Uganda",22.9,75.8,9.8,58.5,14,360,126.6,35
"Benin",11.3,67.6,11.1,59.6,17,340,90.2,8.4
"Sudan",12.1,31.3,7,63.5,112,360,84,23.8
"Senegal",7.2,66,7.9,66.5,67,320,94.4,42.7
"Afghanistan",5.9,15.8,9.3,60.4,19,400,86.8,27.6
"C̫te d'Ivoire",14,52.4,8.9,51.5,103,720,130.3,9.2
"Malawi",11.1,84.6,10.8,62.8,178,510,144.8,16.7
"Ethiopia",7.8,78.2,8.5,64.1,7,420,78.4,25.5
"Gambia",17.4,72.2,8.8,60.2,10,430,115.8,9.4
"Congo (Democratic Republic of the)",12.8,70.7,9.8,58.7,167,730,135.3,8.2
"Liberia",15.4,58.2,9.5,60.9,184,640,117.4,10.7
"Mali",7.7,50.8,8.4,58,12,550,175.6,9.5
"Mozambique",1.4,85.5,9.3,55.1,2,480,137.8,39.6
"Sierra Leone",10,65.7,8.6,50.9,18,1100,100.7,12.4
"Burkina Faso",0.9,77.1,7.8,58.7,13,400,115.4,13.3
"Burundi",5.3,83.3,10.1,56.7,179,740,30.3,34.9
"Chad",1.7,64,7.4,51.6,66,980,152,14.9
"Central African Republic",10.1,72.6,7.2,50.7,158,880,98.3,12.5
"Niger",2.4,40,5.4,61.4,194,630,204.8,13.3
